kappa,trial,c,eps,n_outer,total_inner,converged,rp,rs,f_rel,lam_rel,cpu
10.0,6,0.001,0.0001,500,7148,False,0.08192023232441176,4.6582853497841415e-08,0.000670204525564602,0.0018418798833607646,0.07484817504882812
10.0,6,0.01,0.0001,172,2409,True,9.442475180328866e-07,3.838599522599285e-12,6.975672558232682e-09,2.131780974412356e-08,0.022895336151123047
10.0,6,0.1,0.0001,24,455,True,7.274390507969443e-07,6.441821577806645e-11,5.406528260555909e-09,1.6422729698258946e-08,0.003854990005493164
10.0,6,1.0,0.0001,7,201,True,6.082887938976995e-07,2.879461296072051e-09,5.045485264732548e-09,1.3694066321972332e-08,0.0020475387573242188
10.0,6,10.0,0.0001,4,120,True,9.297287363590851e-08,8.475073882100306e-08,1.256472646472387e-09,1.9704541534019606e-09,0.001007080078125
10.0,6,100.0,0.0001,4,155,True,3.9619026272307276e-08,4.6743238965866866e-08,1.1880714646504567e-10,5.409518782812809e-10,0.001993417739868164
10.0,6,1000.0,0.0001,4,179,True,1.6517396635056817e-08,2.738335530238484e-07,1.8019030819834467e-10,4.5262033640477864e-09,0.001007080078125
10.0,6,10000.0,0.0001,5,210,True,1.4364942639832628e-11,6.592207398479515e-07,2.5651057171294496e-14,3.3729369107218113e-09,0.0022726058959960938
10.0,6,0.0001,1e-06,500,10977,False,25.011830703820745,2.1673445090412864e-08,0.5678989271825016,0.2667514647235617,0.0979316234588623
10.0,6,0.001,1e-06,500,10523,False,0.08192022659530909,4.699272619350689e-10,0.0006702048035301909,0.0018418797077736887,0.09993457794189453
10.0,6,0.01,1e-06,172,3612,True,9.442532265642694e-07,4.869400722795786e-14,6.975744781422022e-09,2.1317938472924067e-08,0.03203892707824707
